feature,feature_family,clinical_flag,n_flag_positive,n_flag_negative,n_disagree_flag_positive,n_disagree_flag_negative,prop_disagree_flag_positive,prop_disagree_flag_negative,difference_in_disagreement_proportion_positive_minus_negative,note
HRV_pNN50,HRV,known_artifact_patient_flag,5,15,3,4,0.6,0.26666666666666666,0.3333333333333333,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,paced_or_bbb,6,14,3,4,0.5,0.2857142857142857,0.2142857142857143,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,moderate_or_high_confound,6,14,3,4,0.5,0.2857142857142857,0.2142857142857143,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,paced_or_icd,5,15,2,5,0.4,0.3333333333333333,0.06666666666666671,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,continuous_AF,3,17,1,6,0.3333333333333333,0.35294117647058826,-0.019607843137254943,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,intermittent_or_new_AF,3,17,1,6,0.3333333333333333,0.35294117647058826,-0.019607843137254943,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,mechanical_support,3,17,1,6,0.3333333333333333,0.35294117647058826,-0.019607843137254943,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,any_af,6,14,2,5,0.3333333333333333,0.35714285714285715,-0.023809523809523836,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,hrv_invalid_flag,8,12,2,5,0.25,0.4166666666666667,-0.16666666666666669,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,exclude_from_HRV_valid_subgroup,8,12,2,5,0.25,0.4166666666666667,-0.16666666666666669,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
HRV_pNN50,HRV,major_HRV_outlier,1,19,0,7,0.0,0.3684210526315789,-0.3684210526315789,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,BBB,4,16,4,4,1.0,0.25,0.75,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,paced_or_bbb,6,14,4,4,0.6666666666666666,0.2857142857142857,0.38095238095238093,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,moderate_or_high_confound,6,14,4,4,0.6666666666666666,0.2857142857142857,0.38095238095238093,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,high_confound,3,17,2,6,0.6666666666666666,0.35294117647058826,0.31372549019607837,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,paced_or_icd,5,15,3,5,0.6,0.3333333333333333,0.26666666666666666,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,antiarrhythmic_exposure,5,15,3,5,0.6,0.3333333333333333,0.26666666666666666,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,known_patient_qc_caution_flag,5,15,3,5,0.6,0.3333333333333333,0.26666666666666666,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,known_artifact_patient_flag,5,15,3,5,0.6,0.3333333333333333,0.26666666666666666,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,hrv_invalid_flag,8,12,3,5,0.375,0.4166666666666667,-0.041666666666666685,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,exclude_from_HRV_valid_subgroup,8,12,3,5,0.375,0.4166666666666667,-0.041666666666666685,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,continuous_AF,3,17,1,7,0.3333333333333333,0.4117647058823529,-0.0784313725490196,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,intermittent_or_new_AF,3,17,1,7,0.3333333333333333,0.4117647058823529,-0.0784313725490196,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,mechanical_support,3,17,1,7,0.3333333333333333,0.4117647058823529,-0.0784313725490196,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,atypical_HI,3,17,1,7,0.3333333333333333,0.4117647058823529,-0.0784313725490196,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,any_af,6,14,2,6,0.3333333333333333,0.42857142857142855,-0.09523809523809523,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
QRS_mean,ECG morphology and signal energy,major_HRV_outlier,1,19,0,8,0.0,0.42105263157894735,-0.42105263157894735,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,mechanical_support,3,17,2,3,0.6666666666666666,0.17647058823529413,0.4901960784313725,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,paced_or_bbb,6,14,2,3,0.3333333333333333,0.21428571428571427,0.11904761904761904,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,BBB,4,16,1,4,0.25,0.25,0.0,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,paced_or_icd,5,15,1,4,0.2,0.26666666666666666,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,antiarrhythmic_exposure,5,15,1,4,0.2,0.26666666666666666,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,known_patient_qc_caution_flag,5,15,1,4,0.2,0.26666666666666666,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,known_artifact_patient_flag,5,15,1,4,0.2,0.26666666666666666,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,moderate_or_high_confound,6,14,1,4,0.16666666666666666,0.2857142857142857,-0.11904761904761904,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,hrv_invalid_flag,8,12,1,4,0.125,0.3333333333333333,-0.20833333333333331,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,exclude_from_HRV_valid_subgroup,8,12,1,4,0.125,0.3333333333333333,-0.20833333333333331,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,major_HRV_outlier,1,19,0,5,0.0,0.2631578947368421,-0.2631578947368421,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,continuous_AF,3,17,0,5,0.0,0.29411764705882354,-0.29411764705882354,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,intermittent_or_new_AF,3,17,0,5,0.0,0.29411764705882354,-0.29411764705882354,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,atypical_HI,3,17,0,5,0.0,0.29411764705882354,-0.29411764705882354,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,high_confound,3,17,0,5,0.0,0.29411764705882354,-0.29411764705882354,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,any_af,6,14,0,5,0.0,0.35714285714285715,-0.35714285714285715,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,mechanical_support,3,17,2,1,0.6666666666666666,0.058823529411764705,0.6078431372549019,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,BBB,4,16,1,2,0.25,0.125,0.125,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,known_patient_qc_caution_flag,5,15,1,2,0.2,0.13333333333333333,0.06666666666666668,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,known_artifact_patient_flag,5,15,1,2,0.2,0.13333333333333333,0.06666666666666668,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,paced_or_bbb,6,14,1,2,0.16666666666666666,0.14285714285714285,0.023809523809523808,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,moderate_or_high_confound,6,14,1,2,0.16666666666666666,0.14285714285714285,0.023809523809523808,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,major_HRV_outlier,1,19,0,3,0.0,0.15789473684210525,-0.15789473684210525,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,continuous_AF,3,17,0,3,0.0,0.17647058823529413,-0.17647058823529413,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,intermittent_or_new_AF,3,17,0,3,0.0,0.17647058823529413,-0.17647058823529413,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,atypical_HI,3,17,0,3,0.0,0.17647058823529413,-0.17647058823529413,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,high_confound,3,17,0,3,0.0,0.17647058823529413,-0.17647058823529413,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,paced_or_icd,5,15,0,3,0.0,0.2,-0.2,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,antiarrhythmic_exposure,5,15,0,3,0.0,0.2,-0.2,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,any_af,6,14,0,3,0.0,0.21428571428571427,-0.21428571428571427,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,hrv_invalid_flag,8,12,0,3,0.0,0.25,-0.25,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,exclude_from_HRV_valid_subgroup,8,12,0,3,0.0,0.25,-0.25,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,major_HRV_outlier,1,19,1,6,1.0,0.3157894736842105,0.6842105263157895,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,known_patient_qc_caution_flag,5,15,3,4,0.6,0.26666666666666666,0.3333333333333333,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,known_artifact_patient_flag,5,15,3,4,0.6,0.26666666666666666,0.3333333333333333,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,BBB,4,16,2,5,0.5,0.3125,0.1875,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,paced_or_icd,5,15,2,5,0.4,0.3333333333333333,0.06666666666666671,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,antiarrhythmic_exposure,5,15,2,5,0.4,0.3333333333333333,0.06666666666666671,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,hrv_invalid_flag,8,12,3,4,0.375,0.3333333333333333,0.041666666666666685,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,exclude_from_HRV_valid_subgroup,8,12,3,4,0.375,0.3333333333333333,0.041666666666666685,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,intermittent_or_new_AF,3,17,1,6,0.3333333333333333,0.35294117647058826,-0.019607843137254943,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,mechanical_support,3,17,1,6,0.3333333333333333,0.35294117647058826,-0.019607843137254943,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,high_confound,3,17,1,6,0.3333333333333333,0.35294117647058826,-0.019607843137254943,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,paced_or_bbb,6,14,2,5,0.3333333333333333,0.35714285714285715,-0.023809523809523836,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,moderate_or_high_confound,6,14,2,5,0.3333333333333333,0.35714285714285715,-0.023809523809523836,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,any_af,6,14,1,6,0.16666666666666666,0.42857142857142855,-0.26190476190476186,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,continuous_AF,3,17,0,7,0.0,0.4117647058823529,-0.4117647058823529,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_median,fractal-dimension summary features,atypical_HI,3,17,0,7,0.0,0.4117647058823529,-0.4117647058823529,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,high_confound,3,17,3,6,1.0,0.35294117647058826,0.6470588235294117,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,paced_or_icd,5,15,4,5,0.8,0.3333333333333333,0.46666666666666673,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,antiarrhythmic_exposure,5,15,4,5,0.8,0.3333333333333333,0.46666666666666673,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,BBB,4,16,3,6,0.75,0.375,0.375,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,paced_or_bbb,6,14,4,5,0.6666666666666666,0.35714285714285715,0.3095238095238095,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,any_af,6,14,4,5,0.6666666666666666,0.35714285714285715,0.3095238095238095,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,moderate_or_high_confound,6,14,4,5,0.6666666666666666,0.35714285714285715,0.3095238095238095,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,hrv_invalid_flag,8,12,5,4,0.625,0.3333333333333333,0.2916666666666667,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,exclude_from_HRV_valid_subgroup,8,12,5,4,0.625,0.3333333333333333,0.2916666666666667,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,continuous_AF,3,17,2,7,0.6666666666666666,0.4117647058823529,0.2549019607843137,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,intermittent_or_new_AF,3,17,2,7,0.6666666666666666,0.4117647058823529,0.2549019607843137,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,known_patient_qc_caution_flag,5,15,2,7,0.4,0.4666666666666667,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,known_artifact_patient_flag,5,15,2,7,0.4,0.4666666666666667,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,mechanical_support,3,17,1,8,0.3333333333333333,0.47058823529411764,-0.13725490196078433,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,major_HRV_outlier,1,19,0,9,0.0,0.47368421052631576,-0.47368421052631576,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fd_minimum,fractal-dimension summary features,atypical_HI,3,17,0,9,0.0,0.5294117647058824,-0.5294117647058824,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,continuous_AF,3,17,2,3,0.6666666666666666,0.17647058823529413,0.4901960784313725,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,mechanical_support,3,17,2,3,0.6666666666666666,0.17647058823529413,0.4901960784313725,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,BBB,4,16,2,3,0.5,0.1875,0.3125,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,paced_or_bbb,6,14,2,3,0.3333333333333333,0.21428571428571427,0.11904761904761904,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,any_af,6,14,2,3,0.3333333333333333,0.21428571428571427,0.11904761904761904,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,moderate_or_high_confound,6,14,2,3,0.3333333333333333,0.21428571428571427,0.11904761904761904,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,high_confound,3,17,1,4,0.3333333333333333,0.23529411764705882,0.0980392156862745,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,hrv_invalid_flag,8,12,2,3,0.25,0.25,0.0,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,exclude_from_HRV_valid_subgroup,8,12,2,3,0.25,0.25,0.0,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,paced_or_icd,5,15,1,4,0.2,0.26666666666666666,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,antiarrhythmic_exposure,5,15,1,4,0.2,0.26666666666666666,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,known_patient_qc_caution_flag,5,15,1,4,0.2,0.26666666666666666,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,known_artifact_patient_flag,5,15,1,4,0.2,0.26666666666666666,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,major_HRV_outlier,1,19,0,5,0.0,0.2631578947368421,-0.2631578947368421,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,intermittent_or_new_AF,3,17,0,5,0.0,0.29411764705882354,-0.29411764705882354,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
fuzzyEntropy,entropy and complexity,atypical_HI,3,17,0,5,0.0,0.29411764705882354,-0.29411764705882354,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,BBB,4,16,3,2,0.75,0.125,0.625,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,paced_or_bbb,6,14,4,1,0.6666666666666666,0.07142857142857142,0.5952380952380952,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,mechanical_support,3,17,2,3,0.6666666666666666,0.17647058823529413,0.4901960784313725,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,paced_or_icd,5,15,3,2,0.6,0.13333333333333333,0.4666666666666667,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,moderate_or_high_confound,6,14,3,2,0.5,0.14285714285714285,0.35714285714285715,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,hrv_invalid_flag,8,12,3,2,0.375,0.16666666666666666,0.20833333333333334,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,exclude_from_HRV_valid_subgroup,8,12,3,2,0.375,0.16666666666666666,0.20833333333333334,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,known_patient_qc_caution_flag,5,15,2,3,0.4,0.2,0.2,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,known_artifact_patient_flag,5,15,2,3,0.4,0.2,0.2,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,continuous_AF,3,17,1,4,0.3333333333333333,0.23529411764705882,0.0980392156862745,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,high_confound,3,17,1,4,0.3333333333333333,0.23529411764705882,0.0980392156862745,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,antiarrhythmic_exposure,5,15,1,4,0.2,0.26666666666666666,-0.06666666666666665,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,any_af,6,14,1,4,0.16666666666666666,0.2857142857142857,-0.11904761904761904,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,major_HRV_outlier,1,19,0,5,0.0,0.2631578947368421,-0.2631578947368421,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,intermittent_or_new_AF,3,17,0,5,0.0,0.29411764705882354,-0.29411764705882354,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
kurtosis,time-domain statistics,atypical_HI,3,17,0,5,0.0,0.29411764705882354,-0.29411764705882354,Descriptive only; small subgroup counts should not be interpreted as formal association testing.
